sequence_id,trial,debruijn_label,assigned_condition
7,19,4,5
7,20,1,4
7,21,1,4
7,22,3,6
7,23,2,1
7,24,0,3
7,25,1,4
7,26,5,2
7,27,4,5
7,28,4,5
7,29,3,6
7,30,3,6
7,31,1,4
7,32,0,3
7,33,3,6
7,34,5,2
7,35,0,3
7,36,2,1
8,1,2,2
8,2,1,1
8,3,4,3
8,4,1,1
8,5,1,1
8,6,3,5
8,7,2,2
8,8,0,6
8,9,1,1
8,10,5,4
8,11,4,3
8,12,4,3
8,13,3,5
8,14,3,5
8,15,1,1
8,16,0,6
8,17,3,5
8,18,5,4
8,19,0,6
8,20,2,2
8,21,2,2
8,22,5,4
8,23,5,4
8,24,3,5
8,25,4,3
8,26,5,4
8,27,1,1
8,28,2,2
8,29,4,3
8,30,0,6
8,31,5,4
8,32,2,2
8,33,3,5
8,34,0,6
8,35,0,6
8,36,4,3
9,1,5,6
9,2,4,3
9,3,4,3
9,4,3,4
9,5,3,4
9,6,1,2
9,7,0,5
9,8,3,4
9,9,5,6
9,10,0,5
9,11,2,1
9,12,2,1
9,13,5,6
9,14,5,6
9,15,3,4
9,16,4,3
9,17,5,6
9,18,1,2
9,19,2,1
9,20,4,3
9,21,0,5
9,22,5,6
9,23,2,1
9,24,3,4
9,25,0,5
9,26,0,5
9,27,4,3
9,28,2,1
9,29,1,2
9,30,4,3
9,31,1,2
9,32,1,2
9,33,3,4
9,34,2,1
9,35,0,5
9,36,1,2
10,1,0,1
10,2,2,4
10,3,2,4
10,4,5,6
10,5,5,6
10,6,3,3
10,7,4,5
10,8,5,6
10,9,1,2
10,10,2,4
10,11,4,5
10,12,0,1
10,13,5,6
10,14,2,4
10,15,3,3
10,16,0,1
10,17,0,1
10,18,4,5
10,19,2,4
10,20,1,2
10,21,4,5
10,22,1,2
10,23,1,2
10,24,3,3
10,25,2,4
10,26,0,1
10,27,1,2
10,28,5,6
10,29,4,5
10,30,4,5
10,31,3,3
10,32,3,3
10,33,1,2
10,34,0,1
10,35,3,3
10,36,5,6
11,1,2,4
11,2,2,4
11,3,5,1
11,4,5,1
11,5,3,2
11,6,4,5
11,7,5,1
11,8,1,3
11,9,2,4
11,10,4,5
11,11,0,6
11,12,5,1
11,13,2,4
11,14,3,2
11,15,0,6
11,16,0,6
11,17,4,5
11,18,2,4
11,19,1,3
11,20,4,5
11,21,1,3
11,22,1,3
11,23,3,2
11,24,2,4
11,25,0,6
11,26,1,3
11,27,5,1
11,28,4,5
11,29,4,5
11,30,3,2
11,31,3,2
11,32,1,3
11,33,0,6
11,34,3,2
11,35,5,1
11,36,0,6
12,1,0,1
12,2,5,4
12,3,2,6
12,4,3,5
12,5,0,1
12,6,0,1
12,7,4,3
12,8,2,6
12,9,1,2
12,10,4,3
12,11,1,2
12,12,1,2
12,13,3,5
12,14,2,6
12,15,0,1
12,16,1,2
12,17,5,4
12,18,4,3
12,19,4,3
12,20,3,5
12,21,3,5
12,22,1,2
12,23,0,1
12,24,3,5
12,25,5,4
12,26,0,1
12,27,2,6
12,28,2,6
12,29,5,4
12,30,5,4
12,31,3,5
12,32,4,3
12,33,5,4
12,34,1,2
12,35,2,6
12,36,4,3
13,1,3,2
13,2,1,3
13,3,0,6
13,4,3,2
13,5,5,5
13,6,0,6
13,7,2,1
13,8,2,1
13,9,5,5
13,10,5,5
13,11,3,2
13,12,4,4
13,13,5,5
13,14,1,3
13,15,2,1
13,16,4,4
13,17,0,6
13,18,5,5
13,19,2,1
13,20,3,2
13,21,0,6
13,22,0,6
13,23,4,4
13,24,2,1
13,25,1,3
13,26,4,4
13,27,1,3
13,28,1,3
13,29,3,2
13,30,2,1
13,31,0,6
13,32,1,3
13,33,5,5
13,34,4,4
13,35,4,4
13,36,3,2
14,1,3,1
14,2,4,2
14,3,5,5
14,4,1,4
14,5,2,6
14,6,4,2
14,7,0,3
14,8,5,5
14,9,2,6
14,10,3,1
14,11,0,3
14,12,0,3
14,13,4,2
14,14,2,6
14,15,1,4
14,16,4,2
14,17,1,4
14,18,1,4
14,19,3,1
14,20,2,6
14,21,0,3
14,22,1,4
14,23,5,5
14,24,4,2
14,25,4,2
14,26,3,1
14,27,3,1
14,28,1,4
14,29,0,3
14,30,3,1
14,31,5,5
14,32,0,3
14,33,2,6
14,34,2,6
14,35,5,5
14,36,5,5
15,1,1,5
15,2,1,5
15,3,3,3
15,4,2,4
15,5,0,6
15,6,1,5
15,7,5,2
15,8,4,1
15,9,4,1
15,10,3,3
15,11,3,3
15,12,1,5
15,13,0,6
15,14,3,3
15,15,5,2
15,16,0,6
15,17,2,4
15,18,2,4
15,19,5,2
15,20,5,2
15,21,3,3
15,22,4,1
15,23,5,2
15,24,1,5
15,25,2,4
15,26,4,1
15,27,0,6
15,28,5,2
15,29,2,4
15,30,3,3
15,31,0,6
15,32,0,6
15,33,4,1
15,34,2,4
15,35,1,5
15,36,4,1
16,1,5,1
16,2,3,3
16,3,4,2
16,4,5,1
16,5,1,6
16,6,2,4
16,7,4,2
16,8,0,5
16,9,5,1
16,10,2,4
16,11,3,3
16,12,0,5
16,13,0,5
16,14,4,2
16,15,2,4
16,16,1,6
16,17,4,2
16,18,1,6
16,19,1,6
16,20,3,3
16,21,2,4
16,22,0,5
16,23,1,6
16,24,5,1
16,25,4,2
16,26,4,2
16,27,3,3
16,28,3,3
16,29,1,6
16,30,0,5
16,31,3,3
16,32,5,1
16,33,0,5
16,34,2,4
16,35,2,4
16,36,5,1
17,1,3,6
17,2,4,1
17,3,5,3
17,4,1,4
17,5,2,5
17,6,4,1
17,7,0,2
17,8,5,3
17,9,2,5
17,10,3,6
17,11,0,2
17,12,0,2
17,13,4,1
17,14,2,5
17,15,1,4
17,16,4,1
17,17,1,4
17,18,1,4
17,19,3,6
17,20,2,5
17,21,0,2
17,22,1,4
17,23,5,3
17,24,4,1
17,25,4,1
17,26,3,6
17,27,3,6
17,28,1,4
17,29,0,2
17,30,3,6
17,31,5,3
17,32,0,2
17,33,2,5
17,34,2,5
17,35,5,3
17,36,5,3
18,1,4,4
18,2,3,5
18,3,3,5
18,4,1,3
18,5,0,6
18,6,3,5
18,7,5,1
18,8,0,6
18,9,2,2
18,10,2,2
18,11,5,1
18,12,5,1
18,13,3,5
18,14,4,4
18,15,5,1
18,16,1,3
18,17,2,2
18,18,4,4
18,19,0,6
18,20,5,1
18,21,2,2
18,22,3,5
18,23,0,6
18,24,0,6
18,25,4,4
18,26,2,2
18,27,1,3
18,28,4,4
18,29,1,3
18,30,1,3
18,31,3,5
18,32,2,2
18,33,0,6
18,34,1,3
18,35,5,1
18,36,4,4
19,1,2,6
19,2,5,1
19,3,5,1
19,4,3,4
19,5,4,2
19,6,5,1
19,7,1,5
19,8,2,6
19,9,4,2
19,10,0,3
19,11,5,1
19,12,2,6
19,13,3,4
19,14,0,3
19,15,0,3
19,16,4,2
19,17,2,6
19,18,1,5
19,19,4,2
19,20,1,5
19,21,1,5
19,22,3,4
19,23,2,6
19,24,0,3
19,25,1,5
19,26,5,1
19,27,4,2
19,28,4,2
19,29,3,4
19,30,3,4
19,31,1,5
19,32,0,3
19,33,3,4
19,34,5,1
19,35,0,3
19,36,2,6
20,1,2,1
20,2,5,4
20,3,5,4
20,4,3,5
20,5,4,6
20,6,5,4
20,7,1,2
20,8,2,1
20,9,4,6
20,10,0,3
20,11,5,4
20,12,2,1
20,13,3,5
20,14,0,3
20,15,0,3
20,16,4,6
20,17,2,1
20,18,1,2
20,19,4,6
20,20,1,2
20,21,1,2
20,22,3,5
20,23,2,1
20,24,0,3
20,25,1,2
20,26,5,4
20,27,4,6
20,28,4,6
20,29,3,5
20,30,3,5
20,31,1,2
20,32,0,3
20,33,3,5
20,34,5,4
20,35,0,3
20,36,2,1
21,1,0,5
21,2,1,3
21,3,5,1
21,4,4,6
21,5,4,6
21,6,3,2
21,7,3,2
21,8,1,3
21,9,0,5
21,10,3,2
21,11,5,1
21,12,0,5
21,13,2,4
21,14,2,4
21,15,5,1
21,16,5,1
21,17,3,2
21,18,4,6
21,19,5,1
21,20,1,3
21,21,2,4
21,22,4,6
21,23,0,5
21,24,5,1
21,25,2,4
21,26,3,2
21,27,0,5
21,28,0,5
21,29,4,6
21,30,2,4
21,31,1,3
21,32,4,6
21,33,1,3
21,34,1,3
21,35,3,2
21,36,2,4
22,1,1,2
22,2,4,5
22,3,1,2
22,4,1,2
22,5,3,3
22,6,2,6
22,7,0,1
22,8,1,2
22,9,5,4
22,10,4,5
22,11,4,5
22,12,3,3
22,13,3,3
22,14,1,2
22,15,0,1
22,16,3,3
22,17,5,4
22,18,0,1
22,19,2,6
22,20,2,6
22,21,5,4
22,22,5,4
22,23,3,3
22,24,4,5
22,25,5,4
22,26,1,2
22,27,2,6
22,28,4,5
22,29,0,1
22,30,5,4
22,31,2,6
22,32,3,3
22,33,0,1
22,34,0,1
22,35,4,5
22,36,2,6
23,1,0,3
23,2,2,6
23,3,2,6
23,4,5,1
23,5,5,1
23,6,3,5
23,7,4,2
23,8,5,1
23,9,1,4
23,10,2,6
23,11,4,2
23,12,0,3
23,13,5,1
23,14,2,6
23,15,3,5
23,16,0,3
23,17,0,3
23,18,4,2
23,19,2,6
23,20,1,4
23,21,4,2
23,22,1,4
23,23,1,4
23,24,3,5
23,25,2,6
23,26,0,3
23,27,1,4
23,28,5,1
23,29,4,2
23,30,4,2
23,31,3,5
23,32,3,5
23,33,1,4
23,34,0,3
23,35,3,5
23,36,5,1
24,1,1,4
24,2,5,3
24,3,4,5
24,4,4,5
24,5,3,2
24,6,3,2
24,7,1,4
24,8,0,6
24,9,3,2
24,10,5,3
24,11,0,6
24,12,2,1
24,13,2,1
24,14,5,3
24,15,5,3
24,16,3,2
24,17,4,5
24,18,5,3
24,19,1,4
24,20,2,1
24,21,4,5
24,22,0,6
24,23,5,3
24,24,2,1
24,25,3,2
24,26,0,6
24,27,0,6
24,28,4,5
24,29,2,1
24,30,1,4
24,31,4,5
24,32,1,4
24,33,1,4
24,34,3,2
24,35,2,1
24,36,0,6
25,1,1,5
25,2,5,6
25,3,4,1
25,4,4,1
25,5,3,2
25,6,3,2
25,7,1,5
25,8,0,3
25,9,3,2
25,10,5,6
25,11,0,3
25,12,2,4
25,13,2,4
25,14,5,6
25,15,5,6
25,16,3,2
25,17,4,1
25,18,5,6
25,19,1,5
25,20,2,4
25,21,4,1
25,22,0,3
25,23,5,6
25,24,2,4
25,25,3,2
25,26,0,3
25,27,0,3
25,28,4,1
25,29,2,4
25,30,1,5
25,31,4,1
25,32,1,5
25,33,1,5
25,34,3,2
25,35,2,4
25,36,0,3
26,1,1,1
26,2,2,6
26,3,4,5
26,4,0,3
26,5,5,4
26,6,2,6
26,7,3,2
26,8,0,3
26,9,0,3
26,10,4,5
26,11,2,6
26,12,1,1
26,13,4,5
26,14,1,1
26,15,1,1
26,16,3,2
26,17,2,6
26,18,0,3
26,19,1,1
26,20,5,4
26,21,4,5
26,22,4,5
26,23,3,2
26,24,3,2
26,25,1,1
26,26,0,3
26,27,3,2
26,28,5,4
26,29,0,3
26,30,2,6
26,31,2,6
26,32,5,4
26,33,5,4
26,34,3,2
26,35,4,5
26,36,5,4
27,1,2,2
27,2,5,6
27,3,5,6
27,4,3,4
27,5,4,1
27,6,5,6
27,7,1,5
27,8,2,2
27,9,4,1
27,10,0,3
27,11,5,6
27,12,2,2
27,13,3,4
27,14,0,3
27,15,0,3
27,16,4,1
27,17,2,2
27,18,1,5
27,19,4,1
27,20,1,5
27,21,1,5
27,22,3,4
27,23,2,2
27,24,0,3
27,25,1,5
27,26,5,6
27,27,4,1
27,28,4,1
27,29,3,4
27,30,3,4
27,31,1,5
27,32,0,3
27,33,3,4
27,34,5,6
27,35,0,3
27,36,2,2
28,1,1,4
28,2,3,5
28,3,2,1
28,4,0,2
28,5,1,4
28,6,5,3
28,7,4,6
28,8,4,6
28,9,3,5
28,10,3,5
28,11,1,4
28,12,0,2
28,13,3,5
28,14,5,3
28,15,0,2
28,16,2,1
28,17,2,1
28,18,5,3
28,19,5,3
28,20,3,5
28,21,4,6
28,22,5,3
28,23,1,4
28,24,2,1
28,25,4,6
28,26,0,2
28,27,5,3
28,28,2,1
28,29,3,5
28,30,0,2
28,31,0,2
28,32,4,6
28,33,2,1
28,34,1,4
28,35,4,6
28,36,1,4
29,1,2,4
29,2,0,5
29,3,1,1
29,4,5,3
29,5,4,6
29,6,4,6
29,7,3,2
29,8,3,2
29,9,1,1
29,10,0,5
29,11,3,2
29,12,5,3
29,13,0,5
29,14,2,4
29,15,2,4
29,16,5,3
29,17,5,3
29,18,3,2
29,19,4,6
29,20,5,3
29,21,1,1
29,22,2,4
29,23,4,6
29,24,0,5
29,25,5,3
29,26,2,4
29,27,3,2
29,28,0,5
29,29,0,5
29,30,4,6
29,31,2,4
29,32,1,1
29,33,4,6
29,34,1,1
29,35,1,1
29,36,3,2
30,1,0,5
30,2,4,4
30,3,2,1
30,4,1,6
30,5,4,4
30,6,1,6
30,7,1,6
30,8,3,3
30,9,2,1
30,10,0,5
30,11,1,6
30,12,5,2
30,13,4,4
30,14,4,4
30,15,3,3
30,16,3,3
30,17,1,6
30,18,0,5
30,19,3,3
30,20,5,2
30,21,0,5
30,22,2,1
30,23,2,1
30,24,5,2
30,25,5,2
30,26,3,3
30,27,4,4
30,28,5,2
30,29,1,6
30,30,2,1
30,31,4,4
30,32,0,5
30,33,5,2
30,34,2,1
30,35,3,3
30,36,0,5
31,1,5,5
31,2,0,6
31,3,2,3
31,4,2,3
31,5,5,5
31,6,5,5
31,7,3,1
31,8,4,4
31,9,5,5
31,10,1,2
31,11,2,3
31,12,4,4
31,13,0,6
31,14,5,5
31,15,2,3
31,16,3,1
31,17,0,6
31,18,0,6
31,19,4,4
31,20,2,3
31,21,1,2
31,22,4,4
31,23,1,2
31,24,1,2
31,25,3,1
31,26,2,3
31,27,0,6
31,28,1,2
31,29,5,5
31,30,4,4
31,31,4,4
31,32,3,1
31,33,3,1
31,34,1,2
31,35,0,6
31,36,3,1
32,1,4,4
32,2,2,1
32,3,1,2
32,4,4,4
32,5,1,2
32,6,1,2
32,7,3,5
32,8,2,1
32,9,0,3
32,10,1,2
32,11,5,6
32,12,4,4
32,13,4,4
32,14,3,5
32,15,3,5
32,16,1,2
32,17,0,3
32,18,3,5
32,19,5,6
32,20,0,3
32,21,2,1
32,22,2,1
32,23,5,6
32,24,5,6
32,25,3,5
32,26,4,4
32,27,5,6
32,28,1,2
32,29,2,1
32,30,4,4
32,31,0,3
32,32,5,6
32,33,2,1
32,34,3,5
32,35,0,3
32,36,0,3
33,1,1,4
33,2,0,1
33,3,3,3
33,4,5,5
33,5,0,1
33,6,2,2
33,7,2,2
33,8,5,5
33,9,5,5
33,10,3,3
33,11,4,6
33,12,5,5
33,13,1,4
33,14,2,2
33,15,4,6
33,16,0,1
33,17,5,5
33,18,2,2
33,19,3,3
33,20,0,1
33,21,0,1
33,22,4,6
33,23,2,2
33,24,1,4
33,25,4,6
33,26,1,4
33,27,1,4
33,28,3,3
33,29,2,2
33,30,0,1
33,31,1,4
33,32,5,5
33,33,4,6
33,34,4,6
33,35,3,3
33,36,3,3
34,1,4,3
34,2,3,1
34,3,3,1
34,4,1,5
34,5,0,4
34,6,3,1
34,7,5,2
34,8,0,4
34,9,2,6
34,10,2,6
34,11,5,2
34,12,5,2
34,13,3,1
34,14,4,3
34,15,5,2
34,16,1,5
34,17,2,6
34,18,4,3
34,19,0,4
34,20,5,2
34,21,2,6
34,22,3,1
34,23,0,4
34,24,0,4
34,25,4,3
34,26,2,6
34,27,1,5
34,28,4,3
34,29,1,5
34,30,1,5
34,31,3,1
34,32,2,6
34,33,0,4
34,34,1,5
34,35,5,2
34,36,4,3
35,1,3,2
35,2,2,1
35,3,0,6
35,4,1,3
35,5,5,4
35,6,4,5
35,7,4,5
35,8,3,2
35,9,3,2
35,10,1,3
35,11,0,6
35,12,3,2
35,13,5,4
35,14,0,6
35,15,2,1
35,16,2,1
35,17,5,4
35,18,5,4
35,19,3,2
35,20,4,5
35,21,5,4
35,22,1,3
35,23,2,1
35,24,4,5
35,25,0,6
35,26,5,4
35,27,2,1
35,28,3,2
35,29,0,6
35,30,0,6
35,31,4,5
35,32,2,1
35,33,1,3
35,34,4,5
35,35,1,3
35,36,1,3
36,1,1,2
36,2,0,5
36,3,3,1
36,4,5,6
36,5,0,5
36,6,2,3
36,7,2,3
36,8,5,6
36,9,5,6
36,10,3,1
36,11,4,4
36,12,5,6
36,13,1,2
36,14,2,3
36,15,4,4
36,16,0,5
36,17,5,6
36,18,2,3
36,19,3,1
36,20,0,5
36,21,0,5
36,22,4,4
36,23,2,3
36,24,1,2
36,25,4,4
36,26,1,2
36,27,1,2
36,28,3,1
36,29,2,3
36,30,0,5
36,31,1,2
36,32,5,6
36,33,4,4
36,34,4,4
36,35,3,1
36,36,3,1
37,1,5,6
37,2,0,1
37,3,2,2
37,4,2,2
37,5,5,6
37,6,5,6
37,7,3,5
37,8,4,3
37,9,5,6
37,10,1,4
37,11,2,2
37,12,4,3
37,13,0,1
37,14,5,6
37,15,2,2
37,16,3,5
37,17,0,1
37,18,0,1
37,19,4,3
37,20,2,2
37,21,1,4
37,22,4,3
37,23,1,4
37,24,1,4
37,25,3,5
37,26,2,2
37,27,0,1
37,28,1,4
37,29,5,6
37,30,4,3
37,31,4,3
37,32,3,5
37,33,3,5
37,34,1,4
37,35,0,1
37,36,3,5
38,1,5,2
38,2,5,2
38,3,3,3
38,4,4,4
38,5,5,2
38,6,1,5
38,7,2,6
38,8,4,4
38,9,0,1
38,10,5,2
38,11,2,6
38,12,3,3
38,13,0,1
38,14,0,1
38,15,4,4
38,16,2,6
38,17,1,5
38,18,4,4
38,19,1,5
38,20,1,5
38,21,3,3
38,22,2,6
38,23,0,1
38,24,1,5
38,25,5,2
38,26,4,4
38,27,4,4
38,28,3,3
38,29,3,3
38,30,1,5
38,31,0,1
38,32,3,3
38,33,5,2
38,34,0,1
38,35,2,6
38,36,2,6
39,1,3,1
39,2,1,4
39,3,0,2
39,4,3,1
39,5,5,5
39,6,0,2
39,7,2,6
39,8,2,6
39,9,5,5
39,10,5,5
39,11,3,1
39,12,4,3
39,13,5,5
39,14,1,4
39,15,2,6
39,16,4,3
39,17,0,2
39,18,5,5
39,19,2,6
39,20,3,1
39,21,0,2
39,22,0,2
39,23,4,3
39,24,2,6
39,25,1,4
39,26,4,3
39,27,1,4
39,28,1,4
39,29,3,1
39,30,2,6
39,31,0,2
39,32,1,4
39,33,5,5
39,34,4,3
39,35,4,3
39,36,3,1
40,1,5,4
40,2,2,6
40,3,3,2
40,4,0,1
40,5,0,1
40,6,4,3
40,7,2,6
40,8,1,5
40,9,4,3
40,10,1,5
40,11,1,5
40,12,3,2
40,13,2,6
40,14,0,1
40,15,1,5
40,16,5,4
40,17,4,3
40,18,4,3
40,19,3,2
40,20,3,2
40,21,1,5
40,22,0,1
40,23,3,2
40,24,5,4
40,25,0,1
40,26,2,6
40,27,2,6
40,28,5,4
40,29,5,4
40,30,3,2
40,31,4,3
40,32,5,4
40,33,1,5
40,34,2,6
40,35,4,3
40,36,0,1
41,1,3,6
41,2,5,2
41,3,0,5
41,4,2,4
41,5,2,4
41,6,5,2
41,7,5,2
41,8,3,6
41,9,4,3
41,10,5,2
41,11,1,1
41,12,2,4
41,13,4,3
41,14,0,5
41,15,5,2
41,16,2,4
41,17,3,6
41,18,0,5
41,19,0,5
41,20,4,3
41,21,2,4
41,22,1,1
41,23,4,3
41,24,1,1
41,25,1,1
41,26,3,6
41,27,2,4
41,28,0,5
41,29,1,1
41,30,5,2
41,31,4,3
41,32,4,3
41,33,3,6
41,34,3,6
41,35,1,1
41,36,0,5
42,1,5,1
42,2,0,5
42,3,2,3
42,4,2,3
42,5,5,1
42,6,5,1
42,7,3,4
42,8,4,2
42,9,5,1
42,10,1,6
42,11,2,3
42,12,4,2
42,13,0,5
42,14,5,1
42,15,2,3
42,16,3,4
42,17,0,5
42,18,0,5
42,19,4,2
42,20,2,3
42,21,1,6
42,22,4,2
42,23,1,6
42,24,1,6
42,25,3,4
42,26,2,3
42,27,0,5
42,28,1,6
42,29,5,1
42,30,4,2
42,31,4,2
42,32,3,4
42,33,3,4
42,34,1,6
42,35,0,5
42,36,3,4
43,1,3,5
43,2,3,5
43,3,1,6
43,4,0,1
43,5,3,5
43,6,5,3
43,7,0,1
43,8,2,2
43,9,2,2
43,10,5,3
43,11,5,3
43,12,3,5
43,13,4,4
43,14,5,3
43,15,1,6
43,16,2,2
43,17,4,4
43,18,0,1
43,19,5,3
43,20,2,2
43,21,3,5
43,22,0,1
43,23,0,1
43,24,4,4
43,25,2,2
43,26,1,6
43,27,4,4
43,28,1,6
43,29,1,6
43,30,3,5
43,31,2,2
43,32,0,1
43,33,1,6
43,34,5,3
43,35,4,4
43,36,4,4
44,1,2,2
44,2,1,3
44,3,4,6
44,4,1,3
44,5,1,3
44,6,3,4
44,7,2,2
44,8,0,1
44,9,1,3
44,10,5,5
44,11,4,6
44,12,4,6
44,13,3,4
44,14,3,4
44,15,1,3
44,16,0,1
44,17,3,4
44,18,5,5
44,19,0,1
44,20,2,2
44,21,2,2
44,22,5,5
44,23,5,5
44,24,3,4
44,25,4,6
44,26,5,5
44,27,1,3
44,28,2,2
44,29,4,6
44,30,0,1
44,31,5,5
44,32,2,2
44,33,3,4
44,34,0,1
44,35,0,1
44,36,4,6
45,1,1,5
45,2,3,6
45,3,2,2
45,4,0,1
45,5,1,5
45,6,5,3
45,7,4,4
45,8,4,4
45,9,3,6
45,10,3,6
45,11,1,5
45,12,0,1
45,13,3,6
45,14,5,3
45,15,0,1
45,16,2,2
45,17,2,2
45,18,5,3
45,19,5,3
45,20,3,6
45,21,4,4
45,22,5,3
45,23,1,5
45,24,2,2
45,25,4,4
45,26,0,1
45,27,5,3
45,28,2,2
45,29,3,6
45,30,0,1
45,31,0,1
45,32,4,4
45,33,2,2
45,34,1,5
45,35,4,4
45,36,1,5
46,1,4,1
46,2,3,5
46,3,3,5
46,4,1,4
46,5,0,3
46,6,3,5
46,7,5,2
46,8,0,3
46,9,2,6
46,10,2,6
46,11,5,2
46,12,5,2
46,13,3,5
46,14,4,1
46,15,5,2
46,16,1,4
46,17,2,6
46,18,4,1
46,19,0,3
46,20,5,2
46,21,2,6
46,22,3,5
46,23,0,3
46,24,0,3
46,25,4,1
46,26,2,6
46,27,1,4
46,28,4,1
46,29,1,4
46,30,1,4
46,31,3,5
46,32,2,6
46,33,0,3
46,34,1,4
46,35,5,2
46,36,4,1
47,1,0,3
47,2,2,6
47,3,2,6
47,4,5,5
47,5,5,5
47,6,3,4
47,7,4,1
47,8,5,5
47,9,1,2
47,10,2,6
47,11,4,1
47,12,0,3
47,13,5,5
47,14,2,6
47,15,3,4
47,16,0,3
47,17,0,3
47,18,4,1
47,19,2,6
47,20,1,2
47,21,4,1
47,22,1,2
47,23,1,2
47,24,3,4
47,25,2,6
47,26,0,3
47,27,1,2
47,28,5,5
47,29,4,1
47,30,4,1
47,31,3,4
47,32,3,4
47,33,1,2
47,34,0,3
47,35,3,4
47,36,5,5
48,1,3,2
48,2,5,5
48,3,0,6
48,4,2,4
48,5,2,4
48,6,5,5
48,7,5,5
48,8,3,2
48,9,4,3
48,10,5,5
48,11,1,1
48,12,2,4
48,13,4,3
48,14,0,6
48,15,5,5
48,16,2,4
48,17,3,2
48,18,0,6
48,19,0,6
48,20,4,3
48,21,2,4
48,22,1,1
48,23,4,3
48,24,1,1
48,25,1,1
48,26,3,2
48,27,2,4
48,28,0,6
48,29,1,1
48,30,5,5
48,31,4,3
48,32,4,3
48,33,3,2
48,34,3,2
48,35,1,1
48,36,0,6
49,1,5,2
49,2,5,2
49,3,3,4
49,4,4,1
49,5,5,2
49,6,1,6
49,7,2,3
49,8,4,1
49,9,0,5
49,10,5,2
49,11,2,3
49,12,3,4
49,13,0,5
49,14,0,5
49,15,4,1
49,16,2,3
